Cluster,Lead Investors Include,Industry
0,Multiple Investors,Financial Services
3,General Catalyst,Healthcare & Life Sciences
2,Siris Capital Group,Enterprise Tech
0,Multiple Investors,Healthcare & Life Sciences
3,Sino Biopharmaceutical,Healthcare & Life Sciences
0,Multiple Investors,Media & Entertainment
0,Multiple Investors,Consumer & Retail
2,Multiple Investors,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,Bank of China Group Investment,Enterprise Tech
0,Multiple Investors,Consumer & Retail
0,Multiple Investors,Financial Services
5,Alpha Wave Global,Consumer & Retail
0,Multiple Investors,Consumer & Retail
0,Coatue,Financial Services
3,Warburg Pincus,Healthcare & Life Sciences
2,Spark Capital,Enterprise Tech
2,Multiple Investors,Enterprise Tech
5,Baidu,Consumer & Retail
0,Multiple Investors,Media & Entertainment
0,Multiple Investors,Healthcare & Life Sciences
0,Sequoia Capital China,Financial Services
0,Multiple Investors,Healthcare & Life Sciences
0,Multiple Investors,Healthcare & Life Sciences
3,Concord Health Partners,Healthcare & Life Sciences
2,SoftBank Vision Fund,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,Intel Capital,Enterprise Tech
5,Silver Lake,Consumer & Retail
5,SoftBank Vision Fund,Consumer & Retail
2,Bain Capital Tech Opportunities,Enterprise Tech
0,Multiple Investors,Food and Beverage
0,Chimera Investment,Financial Services
0,Multiple Investors,Media & Entertainment
0,Abu Dhabi Investment Authority,Financial Services
4,Legatum,Media & Entertainment
0,Multiple Investors,Financial Services
5,Volkswagen Group,Consumer & Retail
3,Founders Fund,Healthcare & Life Sciences
0,Altimeter Capital,Financial Services
1,Caisse de Depot et Placement du Quebec,Industrials
1,Multiple Investors,Industrials
2,Tiger Global Management,Enterprise Tech
3,Temasek Holdings,Healthcare & Life Sciences
0,Blackstone Group,Financial Services
2,Tiger Global Management,Enterprise Tech
1,General Motors,Industrials
0,Mizuho Bank,Financial Services
2,IVP,Enterprise Tech
0,Abu Dhabi Growth Fund,Financial Services
0,Multiple Investors,Financial Services
4,Insight Partners,Media & Entertainment
0,Multiple Investors,Financial Services
2,Multiple Investors,Enterprise Tech
2,Advance Venture Partners,Enterprise Tech
1,Multiple Investors,Industrials
1,Multiple Investors,Industrials
2,Silver Lake Waterman,Enterprise Tech
2,Multiple Investors,Enterprise Tech
5,Yao Capital,Consumer & Retail
2,Prosus Ventures,Enterprise Tech
1,Multiple Investors,Industrials
0,Mastercard,Financial Services
2,Mastercard,Enterprise Tech
2,Binance Labs,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,Multiple Investors,Enterprise Tech
5,Kohlberg Kravis Roberts,Consumer & Retail
4,Coatue,Media & Entertainment
0,TPG,Financial Services
0,Multiple Investors,Consumer & Retail
0,Multiple Investors,Financial Services
2,FTX Ventures,Enterprise Tech
4,Scytale Digital,Media & Entertainment
0,Multiple Investors,Financial Services
0,PAG,Food and Beverage
3,NantHealth,Healthcare & Life Sciences
5,SoftBank Vision Fund,Consumer & Retail
2,Greenoaks,Enterprise Tech
4,Krafton,Media & Entertainment
2,Multiple Investors,Enterprise Tech
0,Propel VC,Financial Services
2,Bessemer Venture Partners,Enterprise Tech
2,Morgan Stanley,Enterprise Tech
3,Founders Fund,Healthcare & Life Sciences
1,Multiple Investors,Industrials
0,Multiple Investors,Insurance
1,Bain Capital,Industrials
4,Francisco Partners,Media & Entertainment
0,Multiple Investors,Consumer & Retail
3,Buckley Ventures,Healthcare & Life Sciences
1,Multiple Investors,Industrials
0,Multiple Investors,Insurance
2,Permira,Enterprise Tech
2,Goldman Sachs Asset Management,Enterprise Tech
2,Third Point Ventures,Enterprise Tech
4,Coatue,Media & Entertainment
0,Multiple Investors,Transportation
5,Alibaba Group,Consumer & Retail
0,Moore Strategic Ventures,Financial Services
1,Multiple Investors,Industrials
0,Great Hill Partners,Financial Services
0,Google,Financial Services
2,Multiple Investors,Enterprise Tech
3,Silver Lake,Healthcare & Life Sciences
2,Warburg Pincus,Enterprise Tech
5,Princeville Capital,Consumer & Retail
1,SOFTBANK Latin America Ventures,Industrials
5,General Atlantic,Consumer & Retail
0,Saidler & Co.,Financial Services
1,Tiger Global Management,Industrials
0,Multiple Investors,Consumer & Retail
1,Multiple Investors,Industrials
0,WestCap,Financial Services
2,Beyond Net Zero,Enterprise Tech
0,SoftBank Vision Fund,Financial Services
1,Da Vinci Capital,Industrials
2,Canada Pension Plan Investment Board,Enterprise Tech
2,General Atlantic,Enterprise Tech
1,Multiple Investors,Industrials
2,Lightspeed Venture Partners,Enterprise Tech
5,Pobts,Consumer & Retail
1,Alibaba Group,Industrials
0,TPG Rise Climate Fund,Transportation
5,Bond,Consumer & Retail
1,Multiple Investors,Industrials
1,Temasek Holdings,Industrials
5,Wellington Management,Consumer & Retail
3,Fidelity Management and Research Company,Healthcare & Life Sciences
0,Multiple Investors,Consumer & Retail
0,Multiple Investors,Media & Entertainment
4,Liberty City Ventures,Media & Entertainment
2,D1 Capital Partners,Enterprise Tech
2,Generation Investment Management,Enterprise Tech
0,SoftBank Vision Fund,Financial Services
0,IIFL Finance,Financial Services
3,SoftBank Vision Fund,Healthcare & Life Sciences
4,Georgian,Media & Entertainment
0,Multiple Investors,Financial Services
1,Volvo Group Venture Capital,Industrials
2,Multiple Investors,Enterprise Tech
2,Ant Group,Enterprise Tech
3,Lightspeed Venture Partners,Healthcare & Life Sciences
2,Temasek Holdings,Enterprise Tech
0,Multiple Investors,Healthcare & Life Sciences
0,Accomplice,Financial Services
3,Merck,Healthcare & Life Sciences
3,EQT,Healthcare & Life Sciences
1,Multiple Investors,Industrials
0,Multiple Investors,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Consumer & Retail
2,Kohlberg Kravis Roberts,Enterprise Tech
1,Multiple Investors,Industrials
1,Mitsubishi Corporation,Industrials
3,Bristol Myers Squibb,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Financial Services
2,Georgian,Enterprise Tech
0,SoftBank Vision Fund,Financial Services
2,Kohlberg Kravis Roberts,Enterprise Tech
1,TPG Rise Climate Fund,Industrials
2,Multiple Investors,Enterprise Tech
4,Cybernaut Venture Capital,Media & Entertainment
2,SoftBank Vision Fund,Enterprise Tech
2,Coatue,Enterprise Tech
3,SoftBank Vision Fund,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Education
2,Multiple Investors,Enterprise Tech
2,Sequoia Capital China,Enterprise Tech
5,Eurazeo,Consumer & Retail
5,SoftBank Vision Fund,Consumer & Retail
4,Tiger Global Management,Media & Entertainment
2,Multiple Investors,Enterprise Tech
5,Knox Lane,Consumer & Retail
2,Index Ventures,Enterprise Tech
0,Multiple Investors,Consumer & Retail
2,SoftBank Vision Fund,Enterprise Tech
0,MercadoLibre,Financial Services
2,General Atlantic,Enterprise Tech
2,Lightspeed Venture Partners,Enterprise Tech
0,NewView Capital,Financial Services
5,eBay,Consumer & Retail
2,B Capital,Enterprise Tech
2,K1 Investment Management,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,SoftBank Vision Fund,Enterprise Tech
0,Multiple Investors,Food and Beverage
2,Founders Fund,Enterprise Tech
2,Greenoaks,Enterprise Tech
0,Multiple Investors,Consumer & Retail
0,Paradigm,Financial Services
5,The Carlyle Group,Consumer & Retail
3,Vestin Wolf Capital Management,Healthcare & Life Sciences
2,B Capital,Enterprise Tech
0,Multiple Investors,Consumer & Retail
3,SoftBank Vision Fund,Media & Entertainment
0,Multiple Investors,Financial Services
0,Vitruvian Partners,Financial Services
0,Multiple Investors,Healthcare & Life Sciences
0,Greenspring Associates,Financial Services
0,Multiple Investors,Agricultural
0,Goldman Sachs Asset Management,Financial Services
0,Multiple Investors,Consumer & Retail
0,Michael Margolies,Financial Services
4,Meta,Media & Entertainment
0,Multiple Investors,Agricultural
2,Coatue,Enterprise Tech
1,SoftBank Vision Fund,Industrials
0,Multiple Investors,Transportation
5,Y Combinator Continuity Fund,Consumer & Retail
3,Hellman & Friedman,Healthcare & Life Sciences
5,DST Global,Consumer & Retail
2,AMF,Enterprise Tech
2,Peak XV Partners,Enterprise Tech
1,NEOM Investment Fund,Industrials
2,Insight Partners,Enterprise Tech
0,Multiple Investors,Financial Services
1,Toyota Motor,Industrials
5,Bregal Sagemount,Consumer & Retail
3,Sequoia Capital,Healthcare & Life Sciences
5,Great Hill Partners,Consumer & Retail
2,Multiple Investors,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,China Reform Health Management and Services Group Co Ltd,Enterprise Tech
1,Maersk Growth,Industrials
3,Harbin Gloria Pharmaceuticals,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
2,BlackRock,Enterprise Tech
0,Maria Sharapova,Financial Services
5,Abu Dhabi Investment Authority,Consumer & Retail
0,Hezhi Investment,Agricultural
0,Multiple Investors,Insurance
1,Multiple Investors,Industrials
2,Multiple Investors,Enterprise Tech
0,Didi,Transportation
2,YF Capital,Enterprise Tech
0,General Atlantic,Financial Services
2,Multiple Investors,Enterprise Tech
0,Tiger Global Management,Financial Services
2,GIC,Enterprise Tech
2,Insight Partners,Enterprise Tech
1,The Carlyle Group,Industrials
0,Multiple Investors,Financial Services
5,4equity - Media Ventures,Consumer & Retail
2,General Atlantic,Enterprise Tech
4,BlackRock Private Equity Partners,Media & Entertainment
3,Fidelity Management and Research Company,Healthcare & Life Sciences
1,Starr Investment Holdings LLC,Industrials
0,Inflexion,Financial Services
0,M&G Investments,Financial Services
2,FXCM Asia,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,SoftBank Vision Fund,Enterprise Tech
5,T. Rowe Price,Consumer & Retail
5,L Catterton,Consumer & Retail
0,Multiple Investors,Financial Services
5,Mando Corporation,Consumer & Retail
1,Multiple Investors,Industrials
4,Coatue,Media & Entertainment
2,Summit Partners,Enterprise Tech
1,Goldman Sachs Asset Management,Industrials
4,Silver Lake,Media & Entertainment
3,General Catalyst,Healthcare & Life Sciences
2,Tiger Global Management,Enterprise Tech
1,Multiple Investors,Industrials
1,Multiple Investors,Industrials
0,Multiple Investors,Healthcare & Life Sciences
1,Silver Lake,Industrials
2,Fidelity Management and Research Company,Enterprise Tech
5,Blackstone Group,Consumer & Retail
2,Kohlberg Kravis Roberts,Enterprise Tech
2,Brighton Park Capital,Enterprise Tech
5,Spark Capital,Consumer & Retail
2,SoftBank Vision Fund,Enterprise Tech
2,Craft Ventures,Enterprise Tech
3,Mubadala,Healthcare & Life Sciences
0,Multiple Investors,Consumer & Retail
2,Sequoia Capital,Enterprise Tech
1,500 Global,Industrials
4,GIC,Media & Entertainment
3,Khosla Ventures,Healthcare & Life Sciences
1,Multiple Investors,Industrials
1,Multiple Investors,Industrials
3,ShawSpring Partners,Healthcare & Life Sciences
5,Sofina,Consumer & Retail
2,NetDragon,Enterprise Tech
5,Tiger Global Management,Consumer & Retail
1,Multiple Investors,Industrials
0,SoftBank Vision Fund,Financial Services
1,IDG Capital,Industrials
5,Alpargatas,Consumer & Retail
1,Craft Ventures,Industrials
1,Shandong Weiqiao Pioneering Group,Industrials
2,Yingke Capital,Enterprise Tech
2,Microsoft,Enterprise Tech
3,Nestlé Health Science,Healthcare & Life Sciences
1,China Resources Microelectronics,Industrials
4,Google,Media & Entertainment
1,Sparkedge Capital,Industrials
1,Multiple Investors,Industrials
0,SAIC Motor,Transportation
5,Insight Partners,Consumer & Retail
5,TPG,Consumer & Retail
2,CrowdStrike Falcon Fund,Enterprise Tech
2,SoftBank Vision Fund,Enterprise Tech
0,Addition,Financial Services
5,Neuberger Berman,Consumer & Retail
0,General Atlantic,Financial Services
0,Tencent,Financial Services
0,Poste Italiane,Financial Services
2,Multiple Investors,Enterprise Tech
2,Warburg Pincus,Enterprise Tech
0,Multiple Investors,Healthcare & Life Sciences
0,Qiming Venture Partners,Financial Services
2,Tencent,Enterprise Tech
4,Accel,Media & Entertainment
2,Vista Equity Partners,Enterprise Tech
2,Tiger Global Management,Enterprise Tech
2,Permira,Enterprise Tech
5,Sofina,Consumer & Retail
0,Shang Qi Capital,Transportation
0,Morningside Group,Agricultural
2,Kohlberg Kravis Roberts,Enterprise Tech
2,Steadfast Financial,Enterprise Tech
1,Baillie Gifford,Industrials
2,Multiple Investors,Enterprise Tech
1,Multiple Investors,Industrials
4,Times Internet,Media & Entertainment
1,Multiple Investors,Industrials
0,Multiple Investors,Insurance
3,Lorient Capital,Healthcare & Life Sciences
5,Bain Capital Ventures,Consumer & Retail
1,Bessemer Venture Partners,Industrials
5,McKinsey & Company,Consumer & Retail
0,Multiple Investors,Transportation
0,Tiger Global Management,Financial Services
3,Drive Capital,Healthcare & Life Sciences
1,StepStone Group,Industrials
0,Sequoia Capital China,Transportation
2,Multiple Investors,Enterprise Tech
2,Coatue,Enterprise Tech
2,Insight Partners,Enterprise Tech
0,JP Morgan,Financial Services
5,Owl Rock Capital,Consumer & Retail
1,Coatue,Industrials
4,Google Ventures,Media & Entertainment
2,Multiple Investors,Enterprise Tech
0,ITOCHU Corporation,Transportation
3,Sino Biopharmaceutical,Healthcare & Life Sciences
2,Insight Partners,Enterprise Tech
1,Walden International,Industrials
5,Wellington Management,Consumer & Retail
1,IDG Capital,Industrials
4,Binance,Media & Entertainment
4,Kohlberg Kravis Roberts,Media & Entertainment
1,Linse Capital,Industrials
0,Tiger Global Management,Financial Services
0,TTV Capital,Financial Services
2,Light Street Capital,Enterprise Tech
5,GIC,Consumer & Retail
1,Hermitage Capital,Industrials
0,Multiple Investors,Media & Entertainment
2,Silver Lake Waterman,Enterprise Tech
5,Anand Piramal,Consumer & Retail
0,Tiger Global Management,Financial Services
2,Sixth Street,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,ServiceNow,Enterprise Tech
0,Multiple Investors,Financial Services
0,Decisive Capital Management,Financial Services
2,Altimeter Capital,Enterprise Tech
1,Multiple Investors,Industrials
3,Wellington Management,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Healthcare & Life Sciences
4,SoftBank,Media & Entertainment
0,Ping An Capital,Transportation
1,Multiple Investors,Industrials
2,Andreessen Horowitz,Enterprise Tech
0,Trustbridge Partners,Education
2,Multiple Investors,Enterprise Tech
2,Tiger Global Management,Enterprise Tech
1,The Carlyle Group,Industrials
1,Sachin Tendulkar,Industrials
2,Sapphire Ventures,Enterprise Tech
0,Dragoneer Investment Group,Financial Services
0,SoftBank Vision Fund,Financial Services
3,Kinnevik,Healthcare & Life Sciences
0,Multiple Investors,Education
5,Sequoia Capital China,Consumer & Retail
2,Intel Corporation,Enterprise Tech
2,General Atlantic,Enterprise Tech
5,SoftBank Vision Fund,Consumer & Retail
1,Hillhouse Capital Group,Industrials
2,Alkeon Capital,Enterprise Tech
2,Multiple Investors,Enterprise Tech
0,Goldman Sachs,Financial Services
0,Multiple Investors,Financial Services
0,Fulcrum Equity Partners,Financial Services
0,Western Union,Financial Services
5,Altimeter Capital,Consumer & Retail
1,Franklin Templeton Investments,Industrials
1,Multiple Investors,Industrials
0,Multiple Investors,Financial Services
0,Multiple Investors,Healthcare & Life Sciences
2,Coatue,Enterprise Tech
0,Bain Capital Tech Opportunities,Financial Services
0,Group 11,Financial Services
0,Multiple Investors,Consumer & Retail
0,Multiple Investors,Transportation
1,Bank of China Group Investment,Industrials
5,BRV Capital Management,Consumer & Retail
2,SoftBank,Enterprise Tech
3,Sapphire Ventures,Healthcare & Life Sciences
0,Multiple Investors,Financial Services
2,Twilio,Enterprise Tech
2,Accel,Enterprise Tech
2,Permira,Enterprise Tech
0,CITIC Capital Holdings,Transportation
0,Wellington Management,Financial Services
2,Multiple Investors,Enterprise Tech
0,General Atlantic,Financial Services
2,Salesforce Ventures,Enterprise Tech
0,Multiple Investors,Media & Entertainment
1,Digital Alpha,Industrials
0,TPG Rise Climate Fund,Transportation
0,Haun Ventures,Financial Services
0,Ontario Teachers' Pension Plan,Financial Services
1,SK Group,Industrials
2,Multiple Investors,Enterprise Tech
3,Golub Capital,Healthcare & Life Sciences
5,Shining Capital,Consumer & Retail
1,Multiple Investors,Industrials
1,Multiple Investors,Industrials
2,Bessemer Venture Partners,Enterprise Tech
2,Greenoaks,Enterprise Tech
3,Google,Healthcare & Life Sciences
0,Multiple Investors,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
2,Multiple Investors,Enterprise Tech
0,Vision Ridge Capital Partners,Transportation
1,Warburg Pincus,Industrials
1,Multiple Investors,Industrials
0,Multiple Investors,Healthcare & Life Sciences
0,Accel,Financial Services
2,Temasek Holdings,Enterprise Tech
0,Multiple Investors,Media & Entertainment
0,Multiple Investors,Financial Services
1,Multiple Investors,Industrials
2,Chrysalis Investments,Enterprise Tech
0,Multiple Investors,Consumer & Retail
0,Accel,Insurance
5,SoftBank,Consumer & Retail
3,HealthQuest Capital,Healthcare & Life Sciences
0,Temasek Holdings,Financial Services
2,March Capital,Enterprise Tech
5,Qatar Investment Authority,Consumer & Retail
1,CITIC Construction Investment,Industrials
1,Multiple Investors,Industrials
1,SoftBank Vision Fund,Industrials
2,Tiger Global Management,Enterprise Tech
2,Benchmark,Enterprise Tech
2,G Squared,Enterprise Tech
2,Sequoia Capital China,Enterprise Tech
2,China Merchants Capital,Enterprise Tech
0,Tonic Private Equity,Financial Services
0,Welcome Capital,Financial Services
3,SoftBank Vision Fund,Insurance
0,Ontario Teachers' Pension Plan,Financial Services
2,HSBC,Enterprise Tech
0,Tiger Global Management,Financial Services
0,Multiple Investors,Healthcare & Life Sciences
0,RPMI Railpen,Financial Services
2,Multiple Investors,Enterprise Tech
5,PTT Oil and Retail Business Public Company,Consumer & Retail
2,Kinnevik,Enterprise Tech
0,Multiple Investors,Consumer & Retail
5,L Catterton Asia,Consumer & Retail
0,GCP Capital Partners,Financial Services
0,Multiple Investors,Healthcare & Life Sciences
1,DS Asset Management,Industrials
4,Proxima Media,Media & Entertainment
4,The Twenty Minute VC,Media & Entertainment
0,Tiger Global Management,Financial Services
3,Oak HC/FT,Healthcare & Life Sciences
0,TCV,Financial Services
0,Point Break Capital Management,Financial Services
2,Multiple Investors,Enterprise Tech
1,Tencent,Industrials
0,Multiple Investors,Consumer & Retail
2,AltaIR Capital,Enterprise Tech
1,Climate Investment,Industrials
0,Multiple Investors,Transportation
2,Salesforce Ventures,Enterprise Tech
0,Multiple Investors,Financial Services
0,Greenbriar Equity Group,Transportation
5,EvolutionX,Consumer & Retail
2,Bertelsmann,Enterprise Tech
0,Multiple Investors,Healthcare & Life Sciences
5,Temasek Holdings,Consumer & Retail
2,Multiple Investors,Enterprise Tech
2,New Enterprise Associates,Enterprise Tech
2,Multiple Investors,Enterprise Tech
0,Polychain,Financial Services
0,Insight Partners,Financial Services
3,ICONIQ Capital,Healthcare & Life Sciences
0,BlackRock,Insurance
4,Pantera Capital,Media & Entertainment
5,Ronnie Screwvala,Consumer & Retail
0,Multiple Investors,Financial Services
1,Multiple Investors,Industrials
5,General Catalyst,Consumer & Retail
0,Multiple Investors,Consumer & Retail
0,Tiger Global Management,Financial Services
1,Baillie Gifford,Industrials
0,Multiple Investors,Consumer & Retail
2,Temasek Holdings,Enterprise Tech
5,FTV Capital,Consumer & Retail
5,Jun Lei,Consumer & Retail
2,CrowdStrike,Enterprise Tech
0,Lone Pine Capital,Financial Services
2,Tiger Global Management,Enterprise Tech
1,Koch Disruptive Technologies,Industrials
3,Guangzhou Yuexiu Industrial Investment Fund,Healthcare & Life Sciences
2,TCV,Enterprise Tech
5,Orios Venture Partners,Consumer & Retail
5,Qatar Holding,Consumer & Retail
0,Multiple Investors,Consumer & Retail
2,Multiple Investors,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,Third Point Ventures,Enterprise Tech
2,GGV Capital,Enterprise Tech
2,Multiple Investors,Enterprise Tech
3,Google,Healthcare & Life Sciences
1,Alkeon Capital,Industrials
1,Macquarie Group,Industrials
0,Multiple Investors,Media & Entertainment
0,Multiple Investors,Consumer & Retail
2,Multiple Investors,Enterprise Tech
1,83North,Industrials
4,TPG,Media & Entertainment
2,Multiple Investors,Enterprise Tech
5,EQT,Consumer & Retail
5,Tencent,Consumer & Retail
3,Tiger Global Management,Healthcare & Life Sciences
3,Lightrock,Healthcare & Life Sciences
0,Ribbit Capital,Financial Services
2,Goldman Sachs Asset Management,Enterprise Tech
0,Rhône Group,Transportation
1,CICC,Industrials
0,JP Morgan,Financial Services
3,CIBC Innovation Banking,Healthcare & Life Sciences
4,CyberAgent Capital,Media & Entertainment
2,Multiple Investors,Enterprise Tech
1,Multiple Investors,Industrials
1,Multiple Investors,Industrials
4,Groupe Bruxelles Lambert,Media & Entertainment
0,Susquehanna International Group (SIG),Financial Services
1,Multiple Investors,Industrials
0,Brookfield Growth,Financial Services
1,D1 Capital Partners,Industrials
5,SoftBank Vision Fund,Consumer & Retail
5,WANDA Group,Consumer & Retail
2,Multiple Investors,Enterprise Tech
2,Multiple Investors,Enterprise Tech
0,Alameda Research,Financial Services
0,Multiple Investors,Financial Services
1,Eclipse Ventures,Industrials
0,UBS,Financial Services
0,Multiple Investors,Financial Services
0,Tencent,Financial Services
2,Y Combinator Continuity Fund,Enterprise Tech
0,Multiple Investors,Healthcare & Life Sciences
5,SoftBank Vision Fund,Consumer & Retail
0,Squarepoint Capital,Insurance
2,Tencent,Enterprise Tech
2,Multiple Investors,Enterprise Tech
0,Allianz X,Financial Services
0,CCB International,Transportation
5,IDG Capital,Consumer & Retail
1,China Development Bank Capital,Industrials
1,Trustbridge Partners,Industrials
0,Multiple Investors,Consumer & Retail
3,SoftBank Vision Fund,Healthcare & Life Sciences
2,Eight Roads Ventures,Enterprise Tech
4,Vulcan Capital,Media & Entertainment
3,Bio-Techne,Healthcare & Life Sciences
1,The Boeing Company,Industrials
5,Taikang Insurance Group,Consumer & Retail
2,Nestlé,Enterprise Tech
2,Battery Ventures,Enterprise Tech
2,Atlas Venture,Enterprise Tech
1,Baillie Gifford,Industrials
0,Andreessen Horowitz,Financial Services
4,Tiger Global Management,Media & Entertainment
2,Georgian,Enterprise Tech
0,Multiple Investors,Financial Services
2,Temasek Holdings,Enterprise Tech
2,China Structural Reform Fund,Enterprise Tech
4,Hillhouse Capital Group,Media & Entertainment
0,Multiple Investors,Consumer & Retail
4,JD.com,Media & Entertainment
1,Multiple Investors,Industrials
0,Multiple Investors,Consumer & Retail
1,Multiple Investors,Industrials
5,Teachers Venture Growth,Consumer & Retail
0,Multiple Investors,Healthcare & Life Sciences
0,D1 Capital Partners,Financial Services
0,Multiple Investors,Transportation
5,SoftBank Vision Fund,Consumer & Retail
3,Tiger Global Management,Healthcare & Life Sciences
1,Multiple Investors,Industrials
0,China CITIC Bank,Transportation
4,Long De Cheng Zhang Culture Communication,Media & Entertainment
5,Tencent,Consumer & Retail
1,Multiple Investors,Industrials
0,Multiple Investors,Consumer & Retail
2,The Carlyle Group,Enterprise Tech
2,Yichang Boyue Investment Management,Enterprise Tech
5,Shopify,Consumer & Retail
0,Multiple Investors,Financial Services
1,Gezhi Asset Management,Industrials
0,Multiple Investors,Financial Services
4,a16z crypto,Media & Entertainment
2,Sapphire Ventures,Enterprise Tech
0,Multiple Investors,Transportation
5,Shenzhen Capital Group,Consumer & Retail
2,Matrix Partners China,Enterprise Tech
2,Sequoia Capital China,Enterprise Tech
1,Multiple Investors,Industrials
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Financial Services
0,Multiple Investors,Insurance
2,Oak HC/FT,Enterprise Tech
5,TPG,Consumer & Retail
0,Multiple Investors,Consumer & Retail
0,Farallon Capital Management,Financial Services
0,Mastercard,Financial Services
1,Avenir Growth Capital,Industrials
1,West Fund,Industrials
1,YF Capital,Industrials
1,Geely,Industrials
1,BOCOM International,Industrials
2,Multiple Investors,Enterprise Tech
1,Baidu Capital,Industrials
5,Xiaomi,Consumer & Retail
2,Multiple Investors,Enterprise Tech
0,Shinhan Venture Investment,Financial Services
5,Beijing Taikang Investment,Consumer & Retail
0,eBay Ventures,Financial Services
2,Y Combinator,Enterprise Tech
1,Multiple Investors,Industrials
5,SoftBank Vision Fund,Consumer & Retail
3,Francisco Partners,Healthcare & Life Sciences
1,Multiple Investors,Industrials
0,SoftBank Vision Fund,Financial Services
3,Kohlberg Kravis Roberts,Healthcare & Life Sciences
2,SRAM & MRAM,Enterprise Tech
0,Lightspeed Venture Partners,Financial Services
5,Raine Ventures,Consumer & Retail
2,China Integrated Circuit Industry Investment Fund (CICF),Enterprise Tech
2,Zomato,Enterprise Tech
3,Dundon Capital Partners,Healthcare & Life Sciences
2,Canada Pension Plan Investment Board,Enterprise Tech
0,CICC Capital,Financial Services
2,Multiple Investors,Enterprise Tech
2,Bain Capital Ventures,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,Bill & Melinda Gates Foundation,Enterprise Tech
1,Multiple Investors,Industrials
2,Brighton Park Capital,Enterprise Tech
2,Peakview Capital,Enterprise Tech
2,Multiple Investors,Enterprise Tech
1,Yingke Capital,Industrials
0,Multiple Investors,Financial Services
0,Lightspeed Venture Partners,Financial Services
2,Multiple Investors,Enterprise Tech
