Company,Post Money Value,Total Equity Funding,Lead Investors Include,Country,Continent,Month,Year,Industry
DailyPay,1,189,Carrick Capital Partners,United States,North America,08,2022,Financial Services
DANA,1,250,Sinar Mas Group,Indonesia,Asia,03,2021,Financial Services
Dapper Labs,8,613,Coatue,Canada,North America,01,2022,Media & Entertainment
Darwinbox,1,116,State Bank of India,India,Asia,02,2019,Enterprise Tech
Databricks,43,4000,T. Rowe Price,United States,North America,12,2019,Enterprise Tech
Dataiku,4,847,Wellington Management,United States,North America,06,2018,Enterprise Tech
Dataminr,4,1000,Fidelity,United States,North America,07,2019,Enterprise Tech
DataRobot,6,1000,"Altimeter Capital, Tiger Global Management",United States,North America,05,2021,Enterprise Tech
DataStax,2,343,GS Growth,United States,North America,06,2021,Enterprise Tech
dbt Labs,4,414,Altimeter Capital,United States,North America,01,2022,Enterprise Tech
DealShare,2,378,"Alpha Wave Global, Tiger Global Management",India,Asia,04,2021,Consumer & Retail
Deel,12,679,Coatue,United States,North America,01,2023,Enterprise Tech
DeepL,1,100,IVP,Germany,Europe,08,2021,Enterprise Tech
Deeproute,1,350,Alibaba Group,China,Asia,04,2021,Enterprise Tech
Degreed,1,390,"Riverwood Capital, Sapphire Ventures",United States,North America,01,2022,Enterprise Tech
Deliverect,1,237,"Alkeon Capital, Coatue",Belgium,Europe,11,2021,Consumer & Retail
Density,1,217,Kleiner Perkins,United States,North America,10,2021,Enterprise Tech
Dental Monitoring,1,232,Mérieux Equity Partners,France,Europe,10,2021,Healthcare & Life Sciences
Devo,2,481,Eurazeo,United States,North America,10,2018,Enterprise Tech
Devoted Health,13,2000,"SoftBank Vision Fund, Uprising Ventures",United States,North America,10,2021,Healthcare & Life Sciences
Dexterity,1,196,"Kleiner Perkins, Lightspeed Venture Partners",United States,North America,05,2018,Consumer & Retail
DFINITY,2,167,"Andreessen Horowitz, Polychain",Switzerland,Europe,10,2020,Enterprise Tech
Dialpad,2,450,ICONIQ Growth,United States,North America,03,2021,Enterprise Tech
Diamond Foundry,2,350,"Tony Fadell( former chief executive of smart home pioneer Nest), Mark Pincus( the founder of video game group Zynga), DiCaprio ",United States,North America,08,2017,Industrials
Dianrong,1,549,"Affirma Capital, Standard Chartered Private Equity",China,Asia,01,2018,Financial Services
Didi Freight,3,2000,"CPE, IDG Capital",China,Asia,06,2020,Industrials
Didi Woya,6,1000,Guangzhou Automobile Group,China,Asia,01,2021,Industrials
Digit Insurance,4,586,Peak XV Partners,India,Asia,11,2021,Insurance
Digital Currency Group,10,0,OMERS Ventures,United States,North America,04,2018,Financial Services
Discord,15,979,Dragoneer Investment Group,United States,North America,03,2021,Media & Entertainment
DispatchHealth,2,733,Optum Ventures,United States,North America,08,2021,Healthcare & Life Sciences
DistroKid,1,0,Insight Partners,United States,North America,04,2022,Media & Entertainment
Divergent,1,363,Hexagon,United States,North America,08,2021,Industrials
Divvy Homes,2,370,"Caffeinated Capital, Tiger Global Management",United States,North America,01,2015,Financial Services
DJI,8,105,Accel,China,Asia,08,2018,Industrials
DMALL,2,528,Industrial Bank,China,Asia,05,2022,Industrials
Dock,2,280,"Lightrock, Silver Lake Waterman",Brazil,South America,10,2015,Financial Services
Docker,2,436,Bain Capital Ventures,United States,North America,10,2019,Enterprise Tech
DocPlanner,1,140,"GS Growth, One Peak Partners",Poland,Europe,03,2019,Healthcare & Life Sciences
Doctolib,6,815,Eurazeo,France,Europe,01,2022,Healthcare & Life Sciences
Domestika,1,130,Zeev Ventures,United States,North America,06,2017,Media & Entertainment
Dotc United Group,1,395,Zeus Entertainment,China,Asia,10,2021,Enterprise Tech
Dragos,2,432,WestCap,United States,North America,11,2021,Industrials
Drata,2,328,"GGV Capital, ICONIQ Growth",United States,North America,06,2021,Enterprise Tech
Dream Games,3,468,Index Ventures,Turkey,Europe,04,2019,Media & Entertainment
Dream11,8,1000,"D1 Capital Partners, DST Global",India,Asia,01,2021,Media & Entertainment
Dremio,2,410,Adams Street Partners,United States,North America,01,2021,Enterprise Tech
DriveNets,3,587,D2 Investments,Israel,Asia,08,2021,Enterprise Tech
Droom,1,333,57 Stars,India,Asia,06,2019,Consumer & Retail
Druva,2,475,Caisse de Depot et Placement du Quebec,United States,North America,06,2017,Enterprise Tech
Dt Dream,1,267,"Zhejiang State Enterprise Reform and Development Fund, ZSVC",China,Asia,04,2018,Enterprise Tech
Du Xiaoman Financial,3,2000,TPG,China,Asia,04,2020,Financial Services
Dubizzle Group,1,479,Affinity Partners,United Arab Emirates,Asia,07,2017,Consumer & Retail
DuerOS,3,295,"Baidu Capital, IDG Capital, CPE",China,Asia,04,2018,Enterprise Tech
Dunamu,12,741,IMM Investment,South Korea,Asia,02,2022,Financial Services
Dune Analytics,1,79,Coatue,Norway,Europe,03,2021,Enterprise Tech
Dutchie,4,603,D1 Capital Partners,United States,North America,04,2018,Consumer & Retail
DXY,1,682,Trustbridge Partners,China,Asia,02,2021,Healthcare & Life Sciences
Earnix,1,98,Insight Partners,Israel,Asia,08,2016,Insurance
Eat Just,1,465,"The Ahimsa Foundation, VegInvest",United States,North America,10,2019,Consumer & Retail
EBANX,1,460,Advent International,Brazil,South America,06,2021,Financial Services
EcoFlow Tech,1,105,Sequoia Capital China,United States,North America,06,2022,Industrials
EcoVadis,1,733,"Astorg, Beyond Net Zero",France,Europe,05,2023,Enterprise Tech
eFishery,1,310,G42 Expansion Fund,Indonesia,Asia,10,2020,Industrials
Eightfold AI,2,397,SoftBank Vision Fund,United States,North America,02,2022,Enterprise Tech
ElasticRun,2,435,"Goldman Sachs, SoftBank Vision Fund",India,Asia,03,2022,Industrials
Electric,1,212,Harmonic Growth Partners,United States,North America,07,2023,Enterprise Tech
Electric Hydrogen,1,602,"Energy Impact Partners, Fifth Wall",United States,North America,07,2022,Industrials
Electrify America,2,450,Siemens Financial Services,United States,North America,10,2021,Industrials
Elemy,1,323,"Goodwater Capital, PremjiInvest",United States,North America,03,2023,Healthcare & Life Sciences
E-Life Financial Services,1,356,H Capital Advance,China,Asia,03,2022,Financial Services
Emplifi,1,0,Sixth Street,United States,North America,05,2021,Enterprise Tech
Employment Hero,1,459,TCV,Australia,Oceania,08,2021,Financial Services
Enable,1,276,Lightspeed Venture Partners,United States,North America,01,2021,Financial Services
Enflame,2,746,"China Fintech Fund, Shanghai GuoHe Capital",China,Asia,04,2019,Enterprise Tech
ENOVATE Motors,4,1000,"Tencent Holdings,CITIC Capital,Hillhouse Capital,Sequoia Capital China,Legend Capital",China,Asia,10,2021,Industrials
Enpal,2,523,"Activate Capital Partners, The Westly Group",Germany,Europe,07,2021,Industrials
Entrata,1,507,"Ryan Smith, Silver Lake",United States,North America,01,2022,Enterprise Tech
Envoy,1,170,Brookfield Growth,United States,North America,10,2018,Enterprise Tech
Epic Games,32,6000,"KIRKBI, Sony",United States,North America,03,2021,Media & Entertainment
Epidemic Sound,1,509,"Blackstone Group, EQT",Sweden,Europe,02,2022,Media & Entertainment
Epirus,1,287,T. Rowe Price,United States,North America,10,2022,Industrials
Equashield,1,0,Nordic Capital,United States,North America,02,2020,Healthcare & Life Sciences
EquipmentShare,1,702,BDT & MSD Partners,United States,North America,08,2021,Enterprise Tech
Eruditus Executive Education,3,591,"Accel, SoftBank Vision Fund",India,Asia,02,2022,Enterprise Tech
eSign,1,186,"Guangxi Investment Group, Sealand Capital, IDG Capital, Hidden Hill Capital, Fortune Venture Capital",China,Asia,01,2022,Enterprise Tech
Esusu,1,145,SoftBank Vision Fund,United States,North America,06,2020,Financial Services
Eswin,5,2000,"Beijing Financial Street Capital Operation Center, Guoxin Zhuoyue Venture Capital",China,Asia,08,2023,Industrials
ETCP,1,280,Wanda E-Commerce,China,Asia,05,2021,Enterprise Tech
Ethos Life,3,414,SoftBank Vision Fund,United States,North America,03,2023,Insurance
eToro,3,473,China Minsheng Financial Holdings,Israel,Asia,08,2022,Financial Services
EV Co.,9,486,"Mahindra & Mahindra, British International Investment",India,Asia,03,2020,Industrials
Everlaw,2,299,TPG Growth,United States,North America,12,2020,Enterprise Tech
EverlyWell,1,250,Trish Costello,United States,North America,12,2020,Healthcare & Life Sciences
Everside Health,1,329,New Enterprise Associates,United States,North America,03,2021,Healthcare & Life Sciences
Evidation Health,1,259,"Kaiser Permanente Ventures, OMERS Private Equity",United States,North America,06,2021,Healthcare & Life Sciences
Exabeam,2,390,Owl Rock Capital,United States,North America,01,2022,Enterprise Tech
Exotec,2,447,Goldman Sachs Asset Management,France,Europe,11,2021,Industrials
Expel,1,289,"CapitalG, Paladin Capital Group",United States,North America,05,2021,Enterprise Tech
Extend,2,320,SoftBank Vision Fund,United States,North America,08,2022,Insurance
Exterro,1,100,"Coller Capital, Glendower Capital",United States,North America,04,2019,Enterprise Tech
ezCater,2,421,SoftBank Vision Fund,United States,North America,06,2019,Consumer & Retail
FabFitFun,1,162,Milano Investment Partners SGR,United States,North America,02,2022,Consumer & Retail
fabric,1,336,Temasek Holdings,United States,North America,10,2021,Consumer & Retail
Fabric,2,294,SoftBank Vision Fund,United States,North America,02,2022,Consumer & Retail
Facily,1,502,"Goodwater Capital, Prosus & Naspers",Brazil,South America,10,2022,Enterprise Tech
Factorial,1,220,Atomico,Spain,Europe,10,2019,Enterprise Tech
Faire,13,2000,Shopify,United States,North America,08,2021,Consumer & Retail
FalconX,8,474,"B Capital, GIC",United States,North America,06,2012,Financial Services
Fanatics,31,5000,Clearlake Capital Group,United States,North America,03,2015,Consumer & Retail
Farfetch China,2,500,"Alibaba Group, Richemont",China,Asia,08,2020,Consumer & Retail
Farmers Business Network,4,918,Fidelity Management and Research Company,United States,North America,03,2021,Industrials
Feedzai,1,277,Conexo Ventures,Portugal,Europe,02,2022,Financial Services
Fenbeitong,1,292,DST Global,China,Asia,08,2021,Enterprise Tech
Fenergo,1,760,"Astorg, Bridgepoint",Ireland,Europe,03,2021,Enterprise Tech
Fetch,3,582,Hamilton Lane,United States,North America,01,2022,Consumer & Retail
Fever,2,409,Goldman Sachs,United States,North America,12,2021,Media & Entertainment
Figment,1,164,Thoma Bravo,United States,North America,10,2019,Financial Services
Figure,3,447,"10T Holdings, Morgan Creek Digital",United States,North America,07,2021,Enterprise Tech
Fireblocks,8,1000,"D1 Capital Partners, Spark Capital",United States,North America,01,2022,Financial Services
Firebolt,1,264,Alkeon Capital,Israel,Asia,03,2021,Enterprise Tech
Firefly Aerospace,1,202,AE Industrial Partners,United States,North America,02,2020,Industrials
FirstCry,3,441,PremjiInvest,India,Asia,09,2016,Consumer & Retail
Firstp2p,2,111,CCB International,China,Asia,04,2021,Consumer & Retail
Fiture,1,391,"All-Stars Investment, BAI capital",China,Asia,06,2020,Healthcare & Life Sciences
Fivetran,6,728,Andreessen Horowitz,United States,North America,03,2022,Enterprise Tech
FLASH,1,319,Vista Equity Partners,United States,North America,02,2021,Industrials
Flash Express,2,781,Buer Capital,Thailand,Asia,07,2023,Industrials
Flashbots,1,60,Paradigm,Cayman Islands,North America,08,2018,Enterprise Tech
FlashEX,1,339,"N5Capital, Shihaisong Capital",China,Asia,04,2022,Industrials
Flexe,1,263,BlackRock,United States,North America,04,2018,Industrials
Flexport,8,2000,Shopify,United States,North America,12,2021,Industrials
Flink Food,1,1000,DoorDash,Germany,Europe,01,2022,Consumer & Retail
Flipdish,1,157,Tencent,Ireland,Europe,07,2019,Consumer & Retail
FlixBus,3,1000,Canyon Partners,Germany,Europe,10,2021,Consumer & Retail
Flock Freight,1,399,SoftBank Vision Fund,United States,North America,07,2021,Industrials
Flock Safety,4,381,Tiger Global Management,United States,North America,07,2021,Consumer & Retail
FloQast,1,203,Meritech Capital Partners,United States,North America,08,2022,Financial Services
Flow,1,350,Andreessen Horowitz,United States,North America,03,2021,Financial Services
Flutterwave,3,509,B Capital,United States,North America,09,2021,Financial Services
FLYR Labs,1,187,WestCap,United States,North America,03,2019,Enterprise Tech
FNZ,20,1000,"CPP Investments, Motive Partners",United Kingdom,Europe,08,2021,Financial Services
Form Energy,1,815,"The Rise Fund, TPG Rise Climate Fund",United States,North America,08,2018,Industrials
Formlabs,2,251,SoftBank Vision Fund,United States,North America,05,2021,Industrials
Forte,1,910,Kora,United States,North America,11,2020,Media & Entertainment
Forter,3,525,Tiger Global Management,United States,North America,06,2021,Enterprise Tech
Forto,2,593,Disruptive,Germany,Europe,09,2022,Industrials
Forward,1,225,"Founders Fund, SoftBank Vision Fund",United States,North America,06,2022,Healthcare & Life Sciences
FourKites,1,242,Mitsui & Co,United States,North America,07,2022,Enterprise Tech
FPL Technologies,1,225,MacRitchie Investments,India,Asia,01,2022,Financial Services
Fractal Analytics,1,685,TPG Capital Asia,United States,North America,08,2020,Enterprise Tech
Freenome,1,1000,Roche,United States,North America,08,2021,Healthcare & Life Sciences
FreshBooks,1,156,Accomplice,Canada,North America,06,2022,Enterprise Tech
Front,2,204,"Battery Ventures, Salesforce Ventures",United States,North America,09,2022,Enterprise Tech
Fujian Deer Technology,2,290,"Qingdao Turing Hongcan Investment Partnership, Shanghai Nast Turing Venture Capital Partnership",China,Asia,08,2023,Industrials
Fullcryo,1,158,"CCB Equity, Chengtong Mixed Reform",China,Asia,08,2021,Industrials
FullStory,2,197,Permira,United States,North America,06,2019,Enterprise Tech
Fumi Technology,1,238,Gopher Asset Management,China,Asia,11,2021,Financial Services
Fundbox,1,404,Healthcare of Ontario Pension Plan (HOOPP),United States,North America,07,2015,Financial Services
FXiaoKe,1,313,Guizhou Innovation Empowerment Big Data Investment Fund,China,Asia,06,2021,Enterprise Tech
G2,1,258,"Permira, Salesforce Ventures",United States,North America,06,2022,Enterprise Tech
G42,1,0,Mubadala,United Arab Emirates,Asia,02,2022,Enterprise Tech
G7,2,710,"CS Capital, Trustbridge Partners",China,Asia,03,2022,Industrials
GAC Aion New Energy Automobile,14,3000,"China Structural Reform Fund, GoldStone Investments, PICC Capital, Shenzhen Capital",China,Asia,11,2020,Industrials
GalaxySpace,2,14,CCB International,China,Asia,03,2022,Industrials
Games24x7,3,75,Malabar Investment Advisors,India,Asia,03,2022,Media & Entertainment
Gauntlet,1,45,Ribbit Capital,United States,North America,11,2021,Financial Services
Gaussian Robot,1,345,Jintuo Capital,China,Asia,11,2018,Industrials
Geek+,2,539,CPE,China,Asia,08,2021,Industrials
Gelato,1,269,Insight Partners,Norway,Europe,09,2021,Consumer & Retail
Gem,1,148,ICONIQ Growth,United States,North America,11,2021,Enterprise Tech
Gemini,1,424,Draper Dragon,United States,North America,11,2021,Financial Services
Generate Biomedicines,1,693,Flagship Pioneering,United States,North America,04,2022,Healthcare & Life Sciences
Genies,1,267,Silver Lake,United States,North America,07,2020,Media & Entertainment
Genki Forest,15,721,Temasek Holdings,China,Asia,03,2021,Consumer & Retail
GeoComply,1,0,"Arctos Sports Partners, Norwest Venture Partners",Canada,North America,03,2021,Enterprise Tech
Getir,12,2000,"Mubadala, Tiger Global Management",Turkey,Europe,05,2016,Consumer & Retail
Gett,2,828,Pelham Capital,United Kingdom,Europe,05,2019,Industrials
GetYourGuide,2,741,Blue Pool Capital,Germany,Europe,02,2022,Consumer & Retail
Glance,2,390,Reliance Jio,Singapore,Asia,05,2022,Financial Services
Glean,1,155,Sequoia Capital,United States,North America,03,2022,Enterprise Tech
Glia,1,152,Insight Partners,United States,North America,12,2021,Enterprise Tech
GlobalBees,1,185,PremjiInvest,India,Asia,03,2019,Consumer & Retail
Glossier,2,266,Lone Pine Capital,United States,North America,05,2023,Consumer & Retail
GO,1,72,"Fidelity International, Okayama Kotsu",Japan,Asia,07,2021,Industrials
Go1,2,414,Insight Partners,Australia,Oceania,09,2020,Enterprise Tech
Goat Group,4,493,Park West Asset Management,United States,North America,02,2022,Consumer & Retail
GoCardless,2,529,Permira,United Kingdom,Europe,07,2021,Financial Services
GoGoX,1,377,"BOCOM International, Cyberport Macro Fund",Hong Kong,Asia,08,2021,Enterprise Tech
GoGuardian,1,200,Tiger Global Management,United States,North America,04,2022,Enterprise Tech
Gokin Solar,1,620,"IDG Capital, Zhuhai Huafa Group",Japan,Asia,08,2020,Industrials
Gong,7,583,Franklin Templeton Investments,United States,North America,04,2022,Enterprise Tech
Good Choice Company,1,39,"KDB Capital, Mirae Asset Capital, GS Retail, JKL Partners",South Korea,Asia,10,2021,Consumer & Retail
GoodLeap,12,0,"MSD Partners, Davidson Kempner, BDT & MSD Partners, Brookfield Growth, Westcap",United States,North America,10,2020,Financial Services
Gopuff,15,3000,Robert Iger,United States,North America,06,2021,Consumer & Retail
GoStudent,3,780,Prosus & Naspers,Austria,Europe,11,2020,Consumer & Retail
Gousto,2,372,SoftBank Vision Fund,United Kingdom,Europe,10,2018,Consumer & Retail
GP Club,1,67,Goldman Sachs,South Korea,Asia,12,2020,Consumer & Retail
G-P/Globalization Partners,4,350,Vista Credit Partners,United States,North America,06,2014,Enterprise Tech
Grab Financial Group,3,4000,Hanwha Asset Management,Singapore,Asia,05,2023,Financial Services
Gradiant,1,392,"BoltRock Holdings, Centaurus Capital LP",United States,North America,03,2021,Industrials
Grafana Labs,3,535,GIC,United States,North America,10,2019,Enterprise Tech
Grammarly,13,400,"Baillie Gifford, BlackRock",United States,North America,12,2018,Media & Entertainment
Graphcore,3,682,Ontario Teachers' Pension Plan,United Kingdom,Europe,09,2020,Enterprise Tech
Greenlight,2,557,Andreessen Horowitz,United States,North America,04,2021,Financial Services
Groq,1,363,"D1 Capital Partners, Tiger Global Management",United States,North America,12,2022,Enterprise Tech
Group14 Technologies,3,649,Earth Venture Capital,United States,North America,04,2022,Industrials
Grover,1,229,Energy Impact Partners,Germany,Europe,04,2021,Consumer & Retail
Groww,3,393,ICONIQ Growth,India,Asia,09,2021,Financial Services
GrubMarket,2,499,301,United States,North America,05,2021,Consumer & Retail
Grupo Axo,1,0,BlackRock Private Equity Partners,Mexico,North America,09,2023,Consumer & Retail
GTA Semiconductor,6,3000,SAIC Venture Capital,China,Asia,06,2021,Industrials
Guideline,1,339,General Atlantic,United States,North America,11,2019,Financial Services
Guild,4,643,Wellington Management,United States,North America,03,2021,Enterprise Tech
Guoquan Shihui,2,552,"CMB International Capital Corporation, Tiantu Capital",China,Asia,04,2021,Consumer & Retail
GupShup,1,484,Tiger Global Management,United States,North America,12,2015,Enterprise Tech
Gusto,10,746,Friends & Family Capital,United States,North America,06,2019,Financial Services
Gympass,2,605,"EQT, General Atlantic",United States,North America,08,2020,Healthcare & Life Sciences
Gymshark,1,245,General Atlantic,United Kingdom,Europe,10,2023,Consumer & Retail
H2 Green Steel,1,2000,"Altor, GIC",Sweden,Europe,11,2021,Industrials
H2O.ai,2,251,Commonwealth Bank of Australia,United States,North America,05,2022,Enterprise Tech
Habi,1,316,"Homebrew, SOFTBANK Latin America Ventures",Colombia,South America,03,2022,Financial Services
HAEGIN,1,129,SK Telecom,South Korea,Asia,09,2021,Media & Entertainment
HAI ROBOTICS,2,315,Capital Today,China,Asia,08,2023,Industrials
Haihe Biopharma,1,318,Warburg Pincus,China,Asia,10,2021,Healthcare & Life Sciences
Hailo,1,221,"Gil Agmon, Poalim Equity",Israel,Asia,05,2021,Enterprise Tech
Handshake,4,434,"Coatue, Valiant Peregrine Fund",United States,North America,12,2021,Enterprise Tech
Haomo.AI,1,157,Bank of China Group Investment,China,Asia,02,2022,Industrials
Happy Money,1,192,Anthemis Group,United States,North America,01,2021,Financial Services
Harness,4,370,Norwest Venture Partners,United States,North America,02,2018,Enterprise Tech
Harry's,2,907,STORY3 Capital Partners,United States,North America,02,2022,Consumer & Retail
Hasura,1,137,Greenoaks,India,Asia,09,2021,Enterprise Tech
Haydon,1,100,"Hillhouse Capital Group, Tencent",China,Asia,02,2020,Consumer & Retail
HeadSpin,1,91,Atlassian Ventures,United States,North America,10,2023,Enterprise Tech
Headway,1,226,Spark Capital,United States,North America,02,2022,Enterprise Tech
HealthCare.com,1,114,Hildred Capital Partners,United States,North America,12,2017,Healthcare & Life Sciences
HeartFlow,2,783,Bain Capital Life Sciences,United States,North America,11,2021,Healthcare & Life Sciences
Helion Energy,3,573,Sam Altman,United States,North America,03,2022,Industrials
Helium,1,365,"Andreessen Horowitz, Tiger Global Management",United States,North America,06,2018,Enterprise Tech
Hello TransTech,6,2000,"Alibaba Group, Ant Group",China,Asia,09,2023,Industrials
Helsing,2,341,General Catalyst,Germany,Europe,11,2021,Enterprise Tech
Heyday,1,800,"PremjiInvest, The Raine Group",United States,North America,07,2019,Consumer & Retail
HeyTea,9,594,"Coatue, Hillhouse Capital Group",China,Asia,10,2021,Consumer & Retail
HiBob,3,574,"Alpha Wave Global, Farallon Capital Management",Israel,Asia,01,2020,Enterprise Tech
HighRadius,3,475,"D1 Capital Partners, Tiger Global Management",United States,North America,02,2021,Financial Services
Highspot,4,643,"B Capital, D1 Capital Partners",United States,North America,08,2016,Enterprise Tech
Hike,1,261,Jump Crypto,India,Asia,01,2021,Media & Entertainment
Hinge Health,6,826,"Coatue, Tiger Global Management",United States,North America,07,2023,Healthcare & Life Sciences
Hithium Energy Storage,4,898,"Beijing Financial Street Capital Operation Center, China Life Private Equity Investment",China,Asia,04,2021,Enterprise Tech
Hive,2,121,Glynn Capital Management,United States,North America,01,2018,Enterprise Tech
Hive Box,3,1000,"Asia Forge (Cayman), Trustbridge Partners",China,Asia,05,2018,Consumer & Retail
HMD,1,330,Ginko Ventures,Finland,Europe,09,2021,Industrials
HomeLight,2,279,Zeev Ventures,United States,North America,05,2021,Financial Services
HoneyBook,2,498,Tiger Global Management,United States,North America,10,2021,Enterprise Tech
Honor,1,325,Baillie Gifford,United States,North America,11,2020,Healthcare & Life Sciences
Hopin,8,1000,"Altimeter Capital, Arena Holdings",United Kingdom,Europe,03,2021,Enterprise Tech
Hopper,5,695,Capital One Ventures,Canada,North America,02,2019,Consumer & Retail
Horizon Robotics,4,2000,Chery Automobile,China,Asia,12,2021,Industrials
Hotel Engine,1,81,Telescope Partners,United States,North America,03,2020,Consumer & Retail
Hotmart,1,127,TCV,The Netherlands,Europe,09,2014,Consumer & Retail
Houzz,4,614,ICONIQ Growth,United States,North America,02,2022,Consumer & Retail
Hozon,4,3000,"CRRC, Shenzhen Capital Group",China,Asia,10 ,2021,Industrials
HT Aero,1,500,"5Y Capital, IDG Capital",China,Asia,12,2021,Industrials
Huaqin Communication Technology,2,298,ZJ Innopark (Zhangjiang Hi-Tech Park),China,Asia,11,2018,Enterprise Tech
Huasheng Haoche,1,360,Crescent Group (Crescent Point),China,Asia,01,2023,Consumer & Retail
Huasun Energy,1,353,Hongtai Fund,China,Asia,05,2022,Industrials
Hugging Face,5,395,Salesforce Ventures,United States,North America,05,2018,Enterprise Tech
Huikedu Group,1,302,China Oceanwide,China,Asia,09,2016,Enterprise Tech
Huimin,2,517,Jinan Industrial Development Group,China,Asia,05,2016,Consumer & Retail
Huitongda,2,996,SDIC Venture Capital,China,Asia,10,2015,Consumer & Retail
Hujiang Education Technologies,1,187,China Minsheng Investment Group,China,Asia,08,2021,Consumer & Retail
Human Interest,1,498,BlackRock,United States,North America,04,2016,Financial Services
Human Longevity,1,341,Emerging Technology Partners,United States,North America,04,2019,Healthcare & Life Sciences
Hupu,1,338,ByteDance,China,Asia,04,2021,Media & Entertainment
Hyperchain Technologies,1,250,"E Fund Management Co.,LTD.",China,Asia,01,2022,Enterprise Tech
IAD France,1,364,Insight Partners,France,Europe,08,2019,Consumer & Retail
Ibotta,1,93,Koch Disruptive Technologies,United States,North America,07,2021,Consumer & Retail
iCapital Network,6,729,Bank of America,United States,North America,04,2016,Financial Services
iCarbonX,1,200,China Bridge Capital,China,Asia,07,2019,Healthcare & Life Sciences
Icertis,5,291,Silicon Valley Bank,United States,North America,10,2022,Enterprise Tech
iCIMS,3,93,TA Associates,United States,North America,02,2022,Enterprise Tech
ICON,2,451,Tiger Global Management,United States,North America,03,2021,Industrials
ID.me,2,274,Viking Global Investors,United States,North America,06,2021,Consumer & Retail
idealista,2,518,Apax Partners,Spain,Europe,03,2014,Consumer & Retail
iFIT,3,580,L Catterton,United States,North America,11,2018,Consumer & Retail
iFood,5,592,"Movile, Prosus & Naspers",Brazil,South America,04,2015,Consumer & Retail
Illumio,3,558,Thoma Bravo,United States,North America,09,2023,Enterprise Tech
Imbue,1,232,Astera Institute,United States,North America,10,2021,Enterprise Tech
Immunai,1,295,Koch Disruptive Technologies,United States,North America,06,2022,Enterprise Tech
Immuta,1,258,Databricks Ventures,United States,North America,03,2022,Enterprise Tech
Immutable Systems,3,277,Temasek Holdings,Australia,Oceania,07,2021,Media & Entertainment
impact.com,2,361,Qatar Investment Authority,United States,North America,05,2022,Enterprise Tech
Imply,1,215,Thoma Bravo,United States,North America,05,2019,Enterprise Tech
Impossible Foods,7,2000,Mirae Asset,United States,North America,05,2017,Consumer & Retail
Improbable,3,704,"Elrond, Metaverse",United Kingdom,Europe,05,2021,Media & Entertainment
Inari,2,461,"Alexandria Venture Investments, Flagship Pioneering",United States,North America,09,2020,Industrials
Included Health,1,344,The Carlyle Group,United States,North America,12,2021,Healthcare & Life Sciences
Incode Technologies,1,257,"General Atlantic, SoftBank",United States,North America,11,2023,Enterprise Tech
InCred,1,235,FMO,India,Asia,08,2022,Financial Services
Incredible Health,2,97,Base10 Partners,United States,North America,02,2021,Healthcare & Life Sciences
inDrive,1,237,Insight Partners,United States,North America,12,2021,Industrials
Infarm,1,600,Qatar Investment Authority,Germany,Europe,04,2015,Industrials
Infinidat,2,325,"Goldman Sachs, TPG Growth",Israel,Asia,05,2022,Enterprise Tech
Inflection AI,4,2000,"Bill Gates, Eric Schmidt",United States,North America,07,2020,Enterprise Tech
Infobip,1,300,One Equity Partners,United Kingdom,Europe,02,2021,Enterprise Tech
Infra.Market,4,590,Mars Growth Capital,India,Asia,04,2021,Industrials
Injective,1,57,Jump Crypto,United States,North America,12,2014,Financial Services
InMobi,2,221,Lightbox,India,Asia,08,2017,Enterprise Tech
InMyShow,1,106,"SAIF Partners, SINA Corporation",China,Asia,02,2021,Media & Entertainment
Innovaccer,3,379,Mubadala Capital Ventures,United States,North America,01,2022,Healthcare & Life Sciences
Innovusion,1,278,Hermitage Capital,United States,North America,02,2022,Industrials
Insider,2,272,Qatar Investment Authority,Singapore,Asia,03,2020,Enterprise Tech
InSightec,1,633,NHS England,Israel,Asia,08,2021,Healthcare & Life Sciences
InsightSoftware,4,799,Hg,United States,North America,07,2019,Enterprise Tech
Inspur Cloud,1,3000,"CCB International, China Minsheng Bank",China,Asia,10,2019,Enterprise Tech
Instabase,2,177,Tribe Capital,United States,North America,05,2022,Enterprise Tech
Instabox,1,292,Swedbank Robur,Sweden,Europe,04,2022,Enterprise Tech
IntelyCare,1,171,Janus Henderson Investors,United States,North America,03,2018,Healthcare & Life Sciences
Intercom,1,241,Kleiner Perkins,United States,North America,07,2021,Enterprise Tech
Interos,1,135,Broadway Angels,United States,North America,11,2019,Enterprise Tech
Interswitch,1,321,Visa,Nigeria,Africa,02,2021,Financial Services
InvestCloud,1,54,"Clearlake Capital Group, Motive Partners",United States,North America,11,2017,Financial Services
InVision,2,349,Spark Capital,United States,North America,06,2022,Enterprise Tech
Invoca,1,201,Silver Lake Waterman,United States,North America,01,2022,Enterprise Tech
Inxeption,3,187,Schonfeld Strategic Advisors,United States,North America,12,2021,Industrials
Iodine Software,1,0,Advent International,United States,North America,01,2022,Healthcare & Life Sciences
Ironclad,3,334,Franklin Templeton Investments,United States,North America,03,2022,Enterprise Tech
Island,2,385,Prysm Capital,United States,North America,12,2020,Enterprise Tech
ISN Software,2,0,Blackstone Group,United States,North America,05,2022,Industrials
iSpot.tv,1,383,Goldman Sachs,United States,North America,06,2021,Media & Entertainment
Iterable,2,342,Viking Global Investors,United States,North America,01,2022,Enterprise Tech
