Company,Post Money Value (Billions),Post Money Value (Millions),Total Equity Funding (Millions),Lead Investors Include,Country,Continent,Month,Year,Industry
DocPlanner,1,1000,140,Multiple Investors,Poland,Europe,10,2019,Healthcare & Life Sciences
Doctolib,6,6000,815,Eurazeo,France,Europe,3,2019,Healthcare & Life Sciences
Domestika,1,1000,130,Zeev Ventures,United States,North America,1,2022,Media & Entertainment
Dotc United Group,1,1000,395,Zeus Entertainment,China,Asia,12,2017,Enterprise Tech
Dragos,2,2000,432,WestCap,United States,North America,10,2021,Industrials
Drata,2,2000,328,Multiple Investors,United States,North America,11,2021,Enterprise Tech
Dream Games,3,3000,468,Index Ventures,Turkey,Europe,6,2021,Media & Entertainment
Dream11,8,8000,1000,Multiple Investors,India,Asia,4,2019,Media & Entertainment
Dremio,2,2000,410,Adams Street Partners,United States,North America,1,2021,Enterprise Tech
DriveNets,3,3000,587,D2 Investments,Israel,Asia,1,2021,Enterprise Tech
DriveWealth,3,3000,551,Multiple Investors,United States,North America,8,2021,Financial Services
Droom,1,1000,333,57 Stars,India,Asia,1,2022,Consumer & Retail
Druva,2,2000,475,Caisse de Depot et Placement du Quebec,United States,North America,6,2019,Enterprise Tech
Dt Dream,1,1000,267,Multiple Investors,China,Asia,6,2017,Enterprise Tech
Du Xiaoman Financial,3,3000,2000,TPG,China,Asia,4,2018,Financial Services
Dubizzle Group,1,1000,479,Affinity Partners,United Arab Emirates,Asia,4,2020,Consumer & Retail
DuerOS,3,3000,295,Multiple Investors,China,Asia,7,2017,Enterprise Tech
Dune Analytics,1,1000,79,Coatue,Norway,Europe,2,2022,Enterprise Tech
Dutchie,4,4000,603,D1 Capital Partners,United States,North America,3,2021,Consumer & Retail
DXY,1,1000,682,Trustbridge Partners,China,Asia,4,2018,Healthcare & Life Sciences
Earnix,1,1000,98,Insight Partners,Israel,Asia,2,2021,Insurance
Eat Just,1,1000,465,Multiple Investors,United States,North America,8,2016,Consumer & Retail
EBANX,1,1000,460,Advent International,Brazil,South America,10,2019,Financial Services
EcoFlow Tech,1,1000,105,Sequoia Capital China,United States,North America,6,2021,Industrials
EcoVadis,1,1000,733,Multiple Investors,France,Europe,6,2022,Enterprise Tech
eFishery,1,1000,310,G42 Expansion Fund,Indonesia,Asia,5,2023,Industrials
Eightfold AI,2,2000,397,SoftBank Vision Fund,United States,North America,10,2020,Enterprise Tech
ElasticRun,2,2000,435,Multiple Investors,India,Asia,2,2022,Industrials
Electric,1,1000,212,Harmonic Growth Partners,United States,North America,3,2022,Enterprise Tech
Electric Hydrogen,1,1000,602,Multiple Investors,United States,North America,11,2023,Industrials
Electrify America,2,2000,450,Siemens Financial Services,United States,North America,6,2022,Industrials
Elemy,1,1000,323,Multiple Investors,United States,North America,10,2021,Healthcare & Life Sciences
E-Life Financial Services,1,1000,356,H Capital Advance,China,Asia,12,2016,Financial Services
Emplifi,1,1000,0,Sixth Street,United States,North America,9,2022,Enterprise Tech
Employment Hero,1,1000,459,TCV,Australia,Oceania,5,2021,Financial Services
Enable,1,1000,276,Lightspeed Venture Partners,United States,North America,11,2023,Financial Services
Enflame,2,2000,746,Multiple Investors,China,Asia,1,2021,Enterprise Tech
ENOVATE Motors,4,4000,1000,Multiple Investors,China,Asia,4,2019,Industrials
Enpal,2,2000,523,Multiple Investors,Germany,Europe,10,2021,Industrials
Entrata,1,1000,507,Multiple Investors,United States,North America,7,2021,Enterprise Tech
Envoy,1,1000,170,Brookfield Growth,United States,North America,1,2022,Enterprise Tech
Epidemic Sound,1,1000,509,Multiple Investors,Sweden,Europe,3,2021,Media & Entertainment
Epirus,1,1000,287,T. Rowe Price,United States,North America,2,2022,Industrials
Equashield,1,1000,0,Nordic Capital,United States,North America,10,2022,Healthcare & Life Sciences
EquipmentShare,1,1000,702,BDT & MSD Partners,United States,North America,2,2020,Enterprise Tech
Eruditus Executive Education,3,3000,591,Multiple Investors,India,Asia,8,2021,Enterprise Tech
eSentire,1,1000,186,Multiple Investors,Canada,North America,2,2022,Enterprise Tech
eSign,1,1000,186,Multiple Investors,China,Asia,9,2021,Enterprise Tech
Esusu,1,1000,145,SoftBank Vision Fund,United States,North America,1,2022,Financial Services
Eswin,5,5000,2000,Multiple Investors,China,Asia,6,2023,Industrials
ETCP,1,1000,280,Wanda E-Commerce,China,Asia,10,2016,Enterprise Tech
Ethos Life,3,3000,414,SoftBank Vision Fund,United States,North America,5,2021,Insurance
eToro,3,3000,473,China Minsheng Financial Holdings,Israel,Asia,3,2023,Financial Services
EV Co.,9,9000,486,Multiple Investors,India,Asia,7,2022,Industrials
Everlaw,2,2000,299,TPG Growth,United States,North America,3,2020,Enterprise Tech
EverlyWell,1,1000,250,Trish Costello,United States,North America,12,2023,Healthcare & Life Sciences
Everside Health,1,1000,329,New Enterprise Associates,United States,North America,12,2020,Healthcare & Life Sciences
Evidation Health,1,1000,259,Multiple Investors,United States,North America,3,2021,Healthcare & Life Sciences
Exabeam,2,2000,390,Owl Rock Capital,United States,North America,6,2021,Enterprise Tech
Exotec,2,2000,447,Goldman Sachs Asset Management,France,Europe,1,2022,Industrials
Expel,1,1000,289,Multiple Investors,United States,North America,11,2021,Enterprise Tech
Extend,2,2000,320,SoftBank Vision Fund,United States,North America,5,2021,Insurance
Exterro,1,1000,100,Multiple Investors,United States,North America,8,2022,Enterprise Tech
ezCater,2,2000,421,SoftBank Vision Fund,United States,North America,4,2019,Consumer & Retail
FabFitFun,1,1000,162,Milano Investment Partners SGR,United States,North America,11,2017,Consumer & Retail
fabric,2,2000,294,SoftBank Vision Fund,United States,North America,2,2022,Consumer & Retail
Fabric,1,1000,336,Temasek Holdings,United States,North America,10,2021,Consumer & Retail
Facily,1,1000,502,Multiple Investors,Brazil,South America,2,2022,Enterprise Tech
Factorial,1,1000,220,Atomico,Spain,Europe,10,2022,Enterprise Tech
FalconX,8,8000,474,Multiple Investors,United States,North America,8,2021,Financial Services
Farfetch China,2,2000,500,Multiple Investors,China,Asia,4,2020,Consumer & Retail
Farmers Business Network,4,4000,918,Fidelity Management and Research Company,United States,North America,8,2020,Industrials
Feedzai,1,1000,277,Conexo Ventures,Portugal,Europe,3,2021,Financial Services
Fenbeitong,1,1000,292,DST Global,China,Asia,2,2022,Enterprise Tech
Fenergo,1,1000,760,Multiple Investors,Ireland,Europe,4,2021,Enterprise Tech
Fetch,3,3000,582,Hamilton Lane,United States,North America,3,2021,Consumer & Retail
Fever,2,2000,409,Goldman Sachs,United States,North America,1,2022,Media & Entertainment
Figment,1,1000,164,Thoma Bravo,United States,North America,12,2021,Financial Services
Figure,3,3000,447,Multiple Investors,United States,North America,10,2019,Enterprise Tech
Fireblocks,8,8000,1000,Multiple Investors,United States,North America,7,2021,Financial Services
Firebolt,1,1000,264,Alkeon Capital,Israel,Asia,1,2022,Enterprise Tech
Firefly Aerospace,1,1000,202,AE Industrial Partners,United States,North America,5,2021,Industrials
FirstCry,3,3000,441,PremjiInvest,India,Asia,2,2020,Consumer & Retail
Firstp2p,2,2000,111,CCB International,China,Asia,9,2016,Consumer & Retail
Fiture,1,1000,391,Multiple Investors,China,Asia,4,2021,Healthcare & Life Sciences
Fivetran,6,6000,728,Andreessen Horowitz,United States,North America,6,2020,Enterprise Tech
FLASH,1,1000,319,Vista Equity Partners,United States,North America,3,2022,Industrials
Flash Express,2,2000,781,Buer Capital,Thailand,Asia,2,2021,Industrials
Flashbots,1,1000,60,Paradigm,Cayman Islands,North America,7,2023,Enterprise Tech
FlashEX,1,1000,339,Multiple Investors,China,Asia,8,2018,Industrials
Flexe,1,1000,263,BlackRock,United States,North America,4,2022,Industrials
Flexport,8,8000,2000,Shopify,United States,North America,4,2018,Industrials
Flink Food,1,1000,1000,DoorDash,Germany,Europe,12,2021,Consumer & Retail
Flipdish,1,1000,157,Tencent,Ireland,Europe,1,2022,Consumer & Retail
FlixBus,3,3000,1000,Canyon Partners,Germany,Europe,7,2019,Consumer & Retail
Flock Freight,1,1000,399,SoftBank Vision Fund,United States,North America,10,2021,Industrials
Flock Safety,4,4000,381,Tiger Global Management,United States,North America,7,2021,Consumer & Retail
FloQast,1,1000,203,Meritech Capital Partners,United States,North America,7,2021,Financial Services
Flow,1,1000,350,Andreessen Horowitz,United States,North America,8,2022,Financial Services
Flutterwave,3,3000,509,B Capital,United States,North America,3,2021,Financial Services
FLYR Labs,1,1000,187,WestCap,United States,North America,9,2021,Enterprise Tech
Form Energy,1,1000,815,Multiple Investors,United States,North America,8,2021,Industrials
Formlabs,2,2000,251,SoftBank Vision Fund,United States,North America,8,2018,Industrials
Forte,1,1000,910,Kora,United States,North America,5,2021,Media & Entertainment
Forter,3,3000,525,Tiger Global Management,United States,North America,11,2020,Enterprise Tech
Forto,2,2000,593,Disruptive,Germany,Europe,6,2021,Industrials
Forward,1,1000,225,Multiple Investors,United States,North America,9,2022,Healthcare & Life Sciences
FourKites,1,1000,242,Mitsui & Co,United States,North America,6,2022,Enterprise Tech
FPL Technologies,1,1000,225,MacRitchie Investments,India,Asia,7,2022,Financial Services
Fractal Analytics,1,1000,685,TPG Capital Asia,United States,North America,1,2022,Enterprise Tech
Freenome,1,1000,1000,Roche,United States,North America,8,2020,Healthcare & Life Sciences
FreshBooks,1,1000,156,Accomplice,Canada,North America,8,2021,Enterprise Tech
Front,2,2000,204,Multiple Investors,United States,North America,6,2022,Enterprise Tech
Fujian Deer Technology,2,2000,290,Multiple Investors,China,Asia,9,2022,Industrials
Fullcryo,1,1000,158,Multiple Investors,China,Asia,8,2023,Industrials
FullStory,2,2000,197,Permira,United States,North America,8,2021,Enterprise Tech
Fumi Technology,1,1000,238,Gopher Asset Management,China,Asia,7,2019,Financial Services
Fundbox,1,1000,404,Healthcare of Ontario Pension Plan (HOOPP),United States,North America,11,2021,Financial Services
FXiaoKe,1,1000,313,Guizhou Innovation Empowerment Big Data Investment Fund,China,Asia,7,2023,Enterprise Tech
G2,1,1000,258,Multiple Investors,United States,North America,6,2021,Enterprise Tech
G42,1,1000,0,Mubadala,United Arab Emirates,Asia,7,2022,Enterprise Tech
G7,2,2000,710,Multiple Investors,China,Asia,2,2022,Industrials
GalaxySpace,2,2000,14,CCB International,China,Asia,11,2020,Industrials
Games24x7,3,3000,75,Malabar Investment Advisors,India,Asia,3,2022,Media & Entertainment
Gauntlet,1,1000,45,Ribbit Capital,United States,North America,3,2022,Financial Services
Gaussian Robot,1,1000,345,Jintuo Capital,China,Asia,11,2021,Industrials
Geek+,2,2000,539,CPE,China,Asia,11,2018,Industrials
Gelato,1,1000,269,Insight Partners,Norway,Europe,8,2021,Consumer & Retail
Gem,1,1000,148,ICONIQ Growth,United States,North America,9,2021,Enterprise Tech
Gemini,1,1000,424,Draper Dragon,United States,North America,11,2021,Financial Services
Generate Biomedicines,1,1000,693,Flagship Pioneering,United States,North America,11,2021,Healthcare & Life Sciences
Genies,1,1000,267,Silver Lake,United States,North America,4,2022,Media & Entertainment
GeoComply,1,1000,0,Multiple Investors,Canada,North America,3,2021,Enterprise Tech
Gett,2,2000,828,Pelham Capital,United Kingdom,Europe,5,2016,Industrials
GetYourGuide,2,2000,741,Blue Pool Capital,Germany,Europe,5,2019,Consumer & Retail
Glance,2,2000,390,Reliance Jio,Singapore,Asia,2,2022,Financial Services
Glean,1,1000,155,Sequoia Capital,United States,North America,5,2022,Enterprise Tech
Glia,1,1000,152,Insight Partners,United States,North America,3,2022,Enterprise Tech
GlobalBees,1,1000,185,PremjiInvest,India,Asia,12,2021,Consumer & Retail
Glossier,2,2000,266,Lone Pine Capital,United States,North America,3,2019,Consumer & Retail
GO,1,1000,72,Multiple Investors,Japan,Asia,5,2023,Industrials
Go1,2,2000,414,Insight Partners,Australia,Oceania,7,2021,Enterprise Tech
Goat Group,4,4000,493,Park West Asset Management,United States,North America,9,2020,Consumer & Retail
GoCardless,2,2000,529,Permira,United Kingdom,Europe,2,2022,Financial Services
GoGoX,1,1000,377,Multiple Investors,Hong Kong,Asia,6,2022,Enterprise Tech
GoGuardian,1,1000,200,Tiger Global Management,United States,North America,6,2021,Enterprise Tech
Gokin Solar,1,1000,620,Multiple Investors,Japan,Asia,4,2022,Industrials
Gong,7,7000,583,Franklin Templeton Investments,United States,North America,8,2020,Enterprise Tech
Good Choice Company,1,1000,39,Multiple Investors,South Korea,Asia,4,2022,Consumer & Retail
GoStudent,3,3000,780,Prosus & Naspers,Austria,Europe,6,2021,Consumer & Retail
Gousto,2,2000,372,SoftBank Vision Fund,United Kingdom,Europe,11,2020,Consumer & Retail
GP Club,1,1000,67,Goldman Sachs,South Korea,Asia,10,2018,Consumer & Retail
G-P/Globalization Partners,4,4000,350,Vista Credit Partners,United States,North America,11,2020,Enterprise Tech
Grab Financial Group,3,3000,4000,Hanwha Asset Management,Singapore,Asia,7,2019,Financial Services
Gradiant,1,1000,392,Multiple Investors,United States,North America,5,2023,Industrials
Grafana Labs,3,3000,535,GIC,United States,North America,3,2021,Enterprise Tech
Graphcore,3,3000,682,Ontario Teachers' Pension Plan,United Kingdom,Europe,12,2018,Enterprise Tech
Greenlight,2,2000,557,Andreessen Horowitz,United States,North America,9,2020,Financial Services
Groq,1,1000,363,Multiple Investors,United States,North America,4,2021,Enterprise Tech
Group14 Technologies,3,3000,649,Earth Venture Capital,United States,North America,12,2022,Industrials
Grover,1,1000,229,Energy Impact Partners,Germany,Europe,4,2022,Consumer & Retail
Groww,3,3000,393,ICONIQ Growth,India,Asia,4,2021,Financial Services
GrubMarket,2,2000,499,301,United States,North America,9,2021,Consumer & Retail
Grupo Axo,1,1000,0,BlackRock Private Equity Partners,Mexico,North America,5,2021,Consumer & Retail
GTA Semiconductor,6,6000,3000,SAIC Venture Capital,China,Asia,9,2023,Industrials
Guideline,1,1000,339,General Atlantic,United States,North America,6,2021,Financial Services
Guild,4,4000,643,Wellington Management,United States,North America,11,2019,Enterprise Tech
Guoquan Shihui,2,2000,552,Multiple Investors,China,Asia,3,2021,Consumer & Retail
GupShup,1,1000,484,Tiger Global Management,United States,North America,4,2021,Enterprise Tech
Gympass,2,2000,605,Multiple Investors,United States,North America,6,2019,Healthcare & Life Sciences
Gymshark,1,1000,245,General Atlantic,United Kingdom,Europe,8,2020,Consumer & Retail
H2 Green Steel,1,1000,2000,Multiple Investors,Sweden,Europe,6,2023,Industrials
H2O.ai,2,2000,251,Commonwealth Bank of Australia,United States,North America,11,2021,Enterprise Tech
Habi,1,1000,316,Multiple Investors,Colombia,South America,5,2022,Financial Services
HAEGIN,1,1000,129,SK Telecom,South Korea,Asia,3,2022,Media & Entertainment
HAI ROBOTICS,2,2000,315,Capital Today,China,Asia,9,2021,Industrials
Haihe Biopharma,1,1000,318,Warburg Pincus,China,Asia,7,2020,Healthcare & Life Sciences
Hailo,1,1000,221,Multiple Investors,Israel,Asia,10,2021,Enterprise Tech
Handshake,4,4000,434,Multiple Investors,United States,North America,5,2021,Enterprise Tech
Haomo.AI,1,1000,157,Bank of China Group Investment,China,Asia,12,2021,Industrials
Happy Money,1,1000,192,Anthemis Group,United States,North America,2,2022,Financial Services
Harness,4,4000,370,Norwest Venture Partners,United States,North America,1,2021,Enterprise Tech
Harry's,2,2000,907,STORY3 Capital Partners,United States,North America,2,2018,Consumer & Retail
Hasura,1,1000,137,Greenoaks,India,Asia,2,2022,Enterprise Tech
Haydon,1,1000,100,Multiple Investors,China,Asia,9,2021,Consumer & Retail
HeadSpin,1,1000,91,Atlassian Ventures,United States,North America,2,2020,Enterprise Tech
Headway,1,1000,226,Spark Capital,United States,North America,10,2023,Enterprise Tech
HealthCare.com,1,1000,114,Hildred Capital Partners,United States,North America,2,2022,Healthcare & Life Sciences
HeartFlow,2,2000,783,Bain Capital Life Sciences,United States,North America,12,2017,Healthcare & Life Sciences
Helion Energy,3,3000,573,Sam Altman,United States,North America,11,2021,Industrials
Helium,1,1000,365,Multiple Investors,United States,North America,3,2022,Enterprise Tech
Hello TransTech,6,6000,2000,Multiple Investors,China,Asia,6,2018,Industrials
Helsing,2,2000,341,General Catalyst,Germany,Europe,9,2023,Enterprise Tech
Heyday,1,1000,800,Multiple Investors,United States,North America,11,2021,Consumer & Retail
HeyTea,9,9000,594,Multiple Investors,China,Asia,7,2019,Consumer & Retail
HiBob,3,3000,574,Multiple Investors,Israel,Asia,10,2021,Enterprise Tech
HighRadius,3,3000,475,Multiple Investors,United States,North America,1,2020,Financial Services
Highspot,4,4000,643,Multiple Investors,United States,North America,2,2021,Enterprise Tech
Hike,1,1000,261,Jump Crypto,India,Asia,8,2016,Media & Entertainment
Hinge Health,6,6000,826,Multiple Investors,United States,North America,1,2021,Healthcare & Life Sciences
Hithium Energy Storage,4,4000,898,Multiple Investors,China,Asia,7,2023,Enterprise Tech
Hive,2,2000,121,Glynn Capital Management,United States,North America,4,2021,Enterprise Tech
Hive Box,3,3000,1000,Multiple Investors,China,Asia,1,2018,Consumer & Retail
HMD,1,1000,330,Ginko Ventures,Finland,Europe,5,2018,Industrials
HomeLight,2,2000,279,Zeev Ventures,United States,North America,9,2021,Financial Services
HoneyBook,2,2000,498,Tiger Global Management,United States,North America,5,2021,Enterprise Tech
Honor,1,1000,325,Baillie Gifford,United States,North America,10,2021,Healthcare & Life Sciences
Hopin,8,8000,1000,Multiple Investors,United Kingdom,Europe,11,2020,Enterprise Tech
Hopper,5,5000,695,Capital One Ventures,Canada,North America,3,2021,Consumer & Retail
Horizon Robotics,4,4000,2000,Chery Automobile,China,Asia,2,2019,Industrials
Hotel Engine,1,1000,81,Telescope Partners,United States,North America,12,2021,Consumer & Retail
Hotmart,1,1000,127,TCV,The Netherlands,Europe,3,2020,Consumer & Retail
Houzz,4,4000,614,ICONIQ Growth,United States,North America,9,2014,Consumer & Retail
Hozon,4,4000,3000,Multiple Investors,China,Asia,2,2022,Industrials
HT Aero,1,1000,500,Multiple Investors,China,Asia,10,2021,Industrials
Huaqin Communication Technology,2,2000,298,ZJ Innopark (Zhangjiang Hi-Tech Park),China,Asia,10,2019,Enterprise Tech
Huasheng Haoche,1,1000,360,Crescent Group (Crescent Point),China,Asia,9,2018,Consumer & Retail
Huasun Energy,1,1000,353,Hongtai Fund,China,Asia,1,2023,Industrials
Hugging Face,5,5000,395,Salesforce Ventures,United States,North America,5,2022,Enterprise Tech
Huikedu Group,1,1000,302,China Oceanwide,China,Asia,5,2018,Enterprise Tech
Huimin,2,2000,517,Jinan Industrial Development Group,China,Asia,9,2016,Consumer & Retail
Huitongda,2,2000,996,SDIC Venture Capital,China,Asia,5,2016,Consumer & Retail
Hujiang Education Technologies,1,1000,187,China Minsheng Investment Group,China,Asia,10,2015,Consumer & Retail
Human Interest,1,1000,498,BlackRock,United States,North America,8,2021,Financial Services
Human Longevity,1,1000,341,Emerging Technology Partners,United States,North America,4,2016,Healthcare & Life Sciences
Hupu,1,1000,338,ByteDance,China,Asia,6,2019,Media & Entertainment
Hyperchain Technologies,1,1000,250,Multiple Investors,China,Asia,4,2021,Enterprise Tech
IAD France,1,1000,364,Insight Partners,France,Europe,2,2021,Consumer & Retail
Ibotta,1,1000,93,Koch Disruptive Technologies,United States,North America,8,2019,Consumer & Retail
iCapital Network,6,6000,729,Bank of America,United States,North America,7,2021,Financial Services
iCarbonX,1,1000,200,China Bridge Capital,China,Asia,4,2016,Healthcare & Life Sciences
Icertis,5,5000,291,Silicon Valley Bank,United States,North America,7,2019,Enterprise Tech
iCIMS,3,3000,93,TA Associates,United States,North America,5,2022,Enterprise Tech
ICON,2,2000,451,Tiger Global Management,United States,North America,2,2022,Industrials
ID.me,2,2000,274,Viking Global Investors,United States,North America,3,2021,Consumer & Retail
idealista,2,2000,518,Apax Partners,Spain,Europe,12,2021,Consumer & Retail
iFIT,3,3000,580,L Catterton,United States,North America,10,2020,Consumer & Retail
iFood,5,5000,592,Multiple Investors,Brazil,South America,11,2019,Consumer & Retail
Illumio,3,3000,558,Thoma Bravo,United States,North America,4,2015,Enterprise Tech
Imbue,1,1000,232,Astera Institute,United States,North America,9,2023,Enterprise Tech
Immunai,1,1000,295,Koch Disruptive Technologies,United States,North America,10,2021,Enterprise Tech
Immuta,1,1000,258,Databricks Ventures,United States,North America,6,2022,Enterprise Tech
Immutable Systems,3,3000,277,Temasek Holdings,Australia,Oceania,3,2022,Media & Entertainment
impact.com,2,2000,361,Qatar Investment Authority,United States,North America,7,2021,Enterprise Tech
Imply,1,1000,215,Thoma Bravo,United States,North America,5,2022,Enterprise Tech
Impossible Foods,7,7000,2000,Mirae Asset,United States,North America,5,2019,Consumer & Retail
Improbable,3,3000,704,Multiple Investors,United Kingdom,Europe,5,2017,Media & Entertainment
Inari,2,2000,461,Multiple Investors,United States,North America,5,2021,Industrials
Included Health,1,1000,344,The Carlyle Group,United States,North America,9,2020,Healthcare & Life Sciences
Incode Technologies,1,1000,257,Multiple Investors,United States,North America,12,2021,Enterprise Tech
InCred,1,1000,235,FMO,India,Asia,12,2023,Financial Services
Incredible Health,2,2000,97,Base10 Partners,United States,North America,8,2022,Healthcare & Life Sciences
inDrive,1,1000,237,Insight Partners,United States,North America,2,2021,Industrials
Infarm,1,1000,600,Qatar Investment Authority,Germany,Europe,12,2021,Industrials
Infinidat,2,2000,325,Multiple Investors,Israel,Asia,4,2015,Enterprise Tech
Inflection AI,4,4000,2000,Multiple Investors,United States,North America,5,2022,Enterprise Tech
Infobip,1,1000,300,One Equity Partners,United Kingdom,Europe,7,2020,Enterprise Tech
Infra.Market,4,4000,590,Mars Growth Capital,India,Asia,2,2021,Industrials
Injective,1,1000,57,Jump Crypto,United States,North America,4,2021,Financial Services
InMobi,2,2000,221,Lightbox,India,Asia,12,2014,Enterprise Tech
InMyShow,1,1000,106,Multiple Investors,China,Asia,8,2017,Media & Entertainment
Innovaccer,3,3000,379,Mubadala Capital Ventures,United States,North America,2,2021,Healthcare & Life Sciences
Innovusion,1,1000,278,Hermitage Capital,United States,North America,1,2022,Industrials
Insider,2,2000,272,Qatar Investment Authority,Singapore,Asia,2,2022,Enterprise Tech
InSightec,1,1000,633,NHS England,Israel,Asia,3,2020,Healthcare & Life Sciences
InsightSoftware,4,4000,799,Hg,United States,North America,10,2021,Enterprise Tech
Inspur Cloud,1,1000,3000,Multiple Investors,China,Asia,7,2019,Enterprise Tech
Instabase,2,2000,177,Tribe Capital,United States,North America,10,2019,Enterprise Tech
Instabox,1,1000,292,Swedbank Robur,Sweden,Europe,5,2022,Enterprise Tech
IntelyCare,1,1000,171,Janus Henderson Investors,United States,North America,4,2022,Healthcare & Life Sciences
Intercom,1,1000,241,Kleiner Perkins,United States,North America,3,2018,Enterprise Tech
Interos,1,1000,135,Broadway Angels,United States,North America,12,2021,Enterprise Tech
Interswitch,1,1000,321,Visa,Nigeria,Africa,12,2019,Financial Services
InvestCloud,1,1000,54,Multiple Investors,United States,North America,1,2021,Financial Services
InVision,2,2000,349,Spark Capital,United States,North America,11,2017,Enterprise Tech
Invoca,1,1000,201,Silver Lake Waterman,United States,North America,6,2022,Enterprise Tech
Inxeption,3,3000,187,Schonfeld Strategic Advisors,United States,North America,1,2022,Industrials
Iodine Software,1,1000,0,Advent International,United States,North America,12,2021,Healthcare & Life Sciences
Ironclad,3,3000,334,Franklin Templeton Investments,United States,North America,1,2022,Enterprise Tech
Island,2,2000,385,Prysm Capital,United States,North America,3,2022,Enterprise Tech
ISN Software,2,2000,0,Blackstone Group,United States,North America,12,2020,Industrials
iSpot.tv,1,1000,383,Goldman Sachs,United States,North America,5,2022,Media & Entertainment
Iterable,2,2000,342,Viking Global Investors,United States,North America,6,2021,Enterprise Tech
iTrustCapital Inc.,1,1000,128,Left Lane Capital,United States,North America,1,2022,Financial Services
Ivalua,1,1000,134,Multiple Investors,France,Europe,5,2019,Enterprise Tech
Iyuno-SDI,1,1000,184,IMM Investment,United States,North America,1,2022,Media & Entertainment
Jaguar Microsystems,1,1000,0,Tencent,China,Asia,6,2022,Industrials
Jasper,2,2000,131,Insight Partners,Canada,North America,10,2022,Enterprise Tech
JD Industry,2,2000,530,Mubadala,China,Asia,8,2020,Industrials
JD.ID,1,1000,0,Gojek,Indonesia,Asia,2,2020,Consumer & Retail
Jeeves,2,2000,268,Tencent,United States,North America,3,2022,Enterprise Tech
Jellysmack,1,1000,16,SoftBank Vision Fund,United States,North America,5,2021,Media & Entertainment
Jetti Resources,3,3000,169,BMW i Ventures,United States,North America,10,2022,Industrials
JIANGXIAOBAI,2,2000,453,China Renaissance,China,Asia,9,2020,Consumer & Retail
Jiedaibao,8,8000,694,Linkface,China,Asia,3,2018,Financial Services
Jiuxian,1,1000,250,Sequoia Capital China,China,Asia,7,2015,Consumer & Retail
JLSemi,1,1000,90,Multiple Investors,China,Asia,7,2022,Industrials
JMGO,1,1000,377,Multiple Investors,China,Asia,3,2022,Industrials
Job&Talent,2,2000,890,Multiple Investors,Spain,Europe,12,2021,Enterprise Tech
JOLED,2,2000,838,CSOT,Japan,Asia,6,2020,Industrials
Jollychic,1,1000,96,G42,China,Asia,5,2018,Consumer & Retail
Juanpi,1,1000,136,Multiple Investors,China,Asia,4,2016,Consumer & Retail
Jubao Internet Technology,4,4000,200,RRJ Capital,China,Asia,11,2016,Financial Services
Judo Bank,1,1000,868,Multiple Investors,Australia,Oceania,12,2020,Financial Services
JumpCloud,3,3000,407,Sapphire Ventures,United States,North America,9,2021,Enterprise Tech
JupiterOne,1,1000,119,Tribe Capital,United States,North America,6,2022,Enterprise Tech
Jusda,3,3000,356,Multiple Investors,China,Asia,1,2019,Enterprise Tech
Jushuitan Network Technology,1,1000,206,Goldman Sachs,China,Asia,6,2020,Enterprise Tech
Juwan Technology,1,1000,166,Guangzhou Automobile Group,China,Asia,4,2022,Industrials
K Health,1,1000,330,Multiple Investors,United States,North America,1,2021,Healthcare & Life Sciences
Kajabi,2,2000,550,Tiger Global Management,United States,North America,5,2021,Media & Entertainment
Kakao Enterprise,1,1000,100,Hy,South Korea,Asia,12,2020,Enterprise Tech
Kakao Japan,7,7000,652,Anchor Equity Partners,Japan,Asia,12,2021,Enterprise Tech
Kakao Mobility,4,4000,1000,GS Retail,South Korea,Asia,11,2021,Consumer & Retail
Karat,1,1000,169,Serena Williams,United States,North America,10,2021,Enterprise Tech
Karrot Market,3,3000,235,DST Global,South Korea,Asia,8,2022,Media & Entertainment
Kaseya,2,2000,547,TPG,Ireland,Europe,3,2019,Enterprise Tech
Kavak,9,9000,2000,General Catalyst,Mexico,North America,10,2020,Industrials
Keep,2,2000,614,SoftBank Vision Fund,China,Asia,5,2020,Healthcare & Life Sciences
Kendra Scott Design,1,1000,0,Berkshire Partners,United States,North America,10,2023,Consumer & Retail
Keyfactor,1,1000,212,Sixth Street,United States,North America,11,2023,Enterprise Tech
Kin Insurance,1,1000,251,QED Investors,United States,North America,9,2023,Insurance
Kindbody,2,2000,206,Morgan Health,United States,North America,3,2023,Healthcare & Life Sciences
Kitopi,2,2000,804,SoftBank Vision Fund,United Arab Emirates,Asia,7,2021,Consumer & Retail
KK Group,3,3000,612,JD.com,China,Asia,10,2019,Consumer & Retail
KKW Beauty,1,1000,200,Coty,United States,North America,6,2020,Consumer & Retail
Klarna,7,7000,4000,SoftBank Vision Fund,Sweden,Europe,12,2011,Financial Services
KLOOK,1,1000,722,Aspex Management,Hong Kong,Asia,8,2018,Consumer & Retail
Knowbox,1,1000,306,Alibaba Group,China,Asia,5,2019,Consumer & Retail
KoBold Metals,1,1000,408,T. Rowe Price,United States,North America,6,2023,Industrials
Komodo Health,3,3000,514,Coatue,United States,North America,5,2020,Healthcare & Life Sciences
Konfio,1,1000,378,Multiple Investors,Mexico,North America,9,2021,Financial Services
Kong,1,1000,169,Tiger Global Management,United States,North America,12,2020,Enterprise Tech
